	title	link	salary_min	salary_max	salary_currency	source
110	Менеджер по продажам / Менеджер по работе с клиентами	https://hh.ru/vacancy/51859691	52000.0	85000.0	руб.	hh.ru
111	Бариста (Центральный район)	https://hh.ru/vacancy/51849949		42000.0	руб.	hh.ru
112	Оператор по проверке контента	https://hh.ru/vacancy/51624832		35000.0	руб.	hh.ru
113	Кладовщик-комплектовщик (склад инструментов)	https://hh.ru/vacancy/48854208		83000.0	руб.	hh.ru
114	Менеджер по обработке входящих заявок	https://hh.ru/vacancy/48520865	1400.0	1800.0	бел.руб.	hh.ru
115	Руководитель отдела продаж; г. Нижний Новгород	https://hh.ru/vacancy/51831275	75000.0	250000.0	руб.	hh.ru
116	SMM-менеджер иностранного бренда одежды	https://hh.ru/vacancy/51875921		100000.0	руб.	hh.ru
117	Помощник главного бухгалтера	https://hh.ru/vacancy/51640864		200000.0	KZT	hh.ru
118	Менеджер по продажам интернет-магазина	https://hh.ru/vacancy/51882923	1000.0	1200.0	бел.руб.	hh.ru
119	Кассир в Ломбард	https://hh.ru/vacancy/50789723	160000.0	300000.0	KZT	hh.ru
120	Менеджер по кадровому делопроизводству	https://hh.ru/vacancy/51628143	60000.0	65000.0	руб.	hh.ru
121	Разработчик Python	https://hh.ru/vacancy/51801847				hh.ru
122	Офис-менеджер/Личный помощник руководителя	https://hh.ru/vacancy/51636129				hh.ru
123	Координатор отдела (отдел эффективности маркетинга и продаж)	https://hh.ru/vacancy/51777611				hh.ru
124	Бухгалтер	https://hh.ru/vacancy/51882067		1300.0	бел.руб.	hh.ru
125	Оператор обработки заказов	https://hh.ru/vacancy/50541429		50000.0	руб.	hh.ru
126	Product Manager	https://hh.ru/vacancy/51448523	260000.0	340000.0	руб.	hh.ru
127	Замерщик жалюзи	https://hh.ru/vacancy/51534238	250000.0	500000.0	KZT	hh.ru
128	Руководитель проекта (деревообрабатывающее производство)	https://hh.ru/vacancy/51808675	300000.0	500000.0	руб.	hh.ru
129	Инженер-энергетик по электрооборудованию / ДГУ; ГГУ - участие в тендерах	https://hh.ru/vacancy/51653324		200000.0	руб.	hh.ru
130	Водитель с личным автомобилем	https://hh.ru/vacancy/46115399	110000.0	170000.0	руб.	hh.ru
131	Специалист голосовой поддержки пользователей	https://hh.ru/vacancy/50581529	31500.0	38000.0	руб.	hh.ru
132	Монтажник /рабочий	https://hh.ru/vacancy/49819393	1500.0	3500.0	бел.руб.	hh.ru
133	Менеджер по продажам от застройщиков (Входящие звонки) / Агент по недвижимости / Риэлтор	https://hh.ru/vacancy/51838980	91000.0	360000.0	руб.	hh.ru
134	Администратор Ателье	https://hh.ru/vacancy/51842942	150000.0	300000.0	KZT	hh.ru
135	Руководитель отдела закупа	https://hh.ru/vacancy/51830941	450000.0	760000.0	KZT	hh.ru
136	Водитель-экспедитор (торговые автоматы)	https://hh.ru/vacancy/50499192		100000.0	руб.	hh.ru
137	Оператор терминала (работник склада)	https://hh.ru/vacancy/50797860	35000.0	43000.0	руб.	hh.ru
